Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Date,Clicks,Impressions,Engagement_Score,Customer_Segment
1,Innovate Industries,Email,Men 18-24,30 days,Google Ads,0.04,16174,6.29,Chicago,1/1/2021,506,1922,6,Health & Wellness
2,NexGen Systems,Email,Women 35-44,60 days,Google Ads,0.12,11566,5.61,New York,1/2/2021,116,7523,7,Fashionistas
3,Alpha Innovations,Influencer,Men 25-34,30 days,YouTube,0.07,10200,7.18,Los Angeles,1/3/2021,584,7698,1,Outdoor Adventurers
4,DataTech Solutions,Display,All Ages,60 days,YouTube,0.11,12724,5.55,Miami,1/4/2021,217,1820,7,Health & Wellness
5,NexGen Systems,Email,Men 25-34,15 days,YouTube,0.05,16452,6.5,Los Angeles,1/5/2021,379,4201,3,Health & Wellness
6,DataTech Solutions,Display,All Ages,15 days,Instagram,0.07,9716,4.36,New York,1/6/2021,100,1643,1,Foodies
7,NexGen Systems,Email,Women 35-44,60 days,Website,0.13,11067,2.86,Los Angeles,1/7/2021,817,8749,10,Tech Enthusiasts
8,DataTech Solutions,Search,Men 18-24,45 days,Google Ads,0.08,13280,5.55,Los Angeles,1/8/2021,624,7854,7,Outdoor Adventurers
9,Alpha Innovations,Social Media,Women 35-44,15 days,Facebook,0.09,18066,6.73,Chicago,1/9/2021,861,1754,6,Tech Enthusiasts
10,TechCorp,Email,Women 35-44,15 days,Instagram,0.09,13766,3.78,Los Angeles,1/10/2021,642,3856,3,Tech Enthusiasts
11,NexGen Systems,Display,Men 25-34,45 days,Email,0.12,8590,3.49,New York,1/11/2021,321,6628,10,Tech Enthusiasts
12,Innovate Industries,Influencer,Men 25-34,60 days,Google Ads,0.05,17502,3.59,Los Angeles,1/12/2021,659,8948,1,Foodies
13,TechCorp,Social Media,Men 25-34,60 days,Facebook,0.09,17189,4.91,Chicago,13/01/2021,677,8817,10,Tech Enthusiasts
14,TechCorp,Email,Men 25-34,45 days,Instagram,0.14,9975,7.06,New York,14/01/2021,994,2201,4,Health & Wellness
15,TechCorp,Display,All Ages,45 days,Website,0.04,11346,5.28,Chicago,15/01/2021,482,8470,1,Outdoor Adventurers
16,Innovate Industries,Social Media,Women 35-44,60 days,YouTube,0.11,9407,2.91,New York,16/01/2021,299,1512,5,Health & Wellness
17,Innovate Industries,Display,Women 35-44,45 days,Website,0.08,5478,4.53,Houston,17/01/2021,931,2488,3,Fashionistas
18,Alpha Innovations,Influencer,Men 18-24,15 days,Instagram,0.14,9485,4.48,Miami,18/01/2021,218,9264,9,Health & Wellness
19,Alpha Innovations,Social Media,Men 25-34,60 days,Google Ads,0.07,19224,6.08,New York,19/01/2021,182,5798,1,Foodies
20,DataTech Solutions,Influencer,Men 25-34,15 days,Google Ads,0.09,10258,3.83,Miami,20/01/2021,193,3677,1,Tech Enthusiasts
21,DataTech Solutions,Search,Women 25-34,15 days,Email,0.04,16580,7.99,New York,21/01/2021,975,1561,3,Outdoor Adventurers
22,TechCorp,Influencer,All Ages,30 days,Facebook,0.02,12824,6.21,New York,22/01/2021,319,8586,2,Foodies
23,NexGen Systems,Social Media,Women 35-44,15 days,YouTube,0.13,8699,2.12,Miami,23/01/2021,646,3841,5,Health & Wellness
24,Innovate Industries,Email,Women 25-34,15 days,Facebook,0.04,17608,7.31,Miami,24/01/2021,764,2157,8,Health & Wellness
25,NexGen Systems,Social Media,Men 18-24,60 days,YouTube,0.07,8773,6.03,Miami,25/01/2021,527,1733,1,Fashionistas
26,NexGen Systems,Search,Women 25-34,45 days,Instagram,0.04,14756,6.23,Houston,26/01/2021,809,8236,10,Health & Wellness
27,Alpha Innovations,Email,Women 25-34,45 days,Facebook,0.09,9182,6.03,Houston,27/01/2021,953,6916,5,Fashionistas
28,TechCorp,Email,Men 25-34,30 days,YouTube,0.07,6601,3.29,New York,28/01/2021,604,2420,3,Foodies
29,TechCorp,Influencer,Men 18-24,60 days,Email,0.09,11552,7.12,Chicago,29/01/2021,384,7620,7,Tech Enthusiasts
30,TechCorp,Social Media,Women 25-34,30 days,Email,0.09,11608,3.61,Los Angeles,30/01/2021,952,4055,1,Tech Enthusiasts
31,Innovate Industries,Search,Men 25-34,45 days,Instagram,0.07,13124,2.77,Houston,31/01/2021,512,4837,4,Tech Enthusiasts
32,NexGen Systems,Influencer,All Ages,45 days,YouTube,0.07,13245,6.83,New York,2/1/2021,309,2885,7,Foodies
33,NexGen Systems,Display,Women 35-44,45 days,Email,0.06,5796,4.42,New York,2/2/2021,367,3218,9,Foodies
34,Alpha Innovations,Influencer,Women 25-34,45 days,Google Ads,0.14,15082,2.71,Los Angeles,2/3/2021,243,5724,4,Health & Wellness
35,NexGen Systems,Influencer,Men 18-24,30 days,YouTube,0.07,18332,7.81,Houston,2/4/2021,360,5349,6,Fashionistas
36,TechCorp,Display,Men 25-34,60 days,Instagram,0.09,13256,2.51,Miami,2/5/2021,250,7373,3,Health & Wellness
37,DataTech Solutions,Display,All Ages,45 days,Email,0.04,15779,7.24,New York,2/6/2021,822,7152,1,Foodies
38,Innovate Industries,Influencer,Men 18-24,60 days,Facebook,0.06,7683,2.62,Houston,2/7/2021,833,9772,8,Tech Enthusiasts
39,Innovate Industries,Search,Men 25-34,30 days,Instagram,0.11,14742,2.21,Chicago,2/8/2021,663,9473,10,Tech Enthusiasts
40,Innovate Industries,Search,Men 18-24,45 days,Google Ads,0.08,15495,6.97,Chicago,2/9/2021,268,5495,6,Fashionistas
41,DataTech Solutions,Social Media,All Ages,30 days,Website,0.04,18684,4.57,New York,2/10/2021,212,4718,4,Foodies
42,Alpha Innovations,Search,Men 25-34,45 days,Email,0.01,13096,3.44,Los Angeles,2/11/2021,360,2776,1,Foodies
43,Innovate Industries,Display,Men 25-34,60 days,Instagram,0.09,7818,5.6,Houston,2/12/2021,598,8637,5,Fashionistas
44,Innovate Industries,Display,All Ages,30 days,Instagram,0.09,8214,4.77,Chicago,13/02/2021,988,1612,5,Fashionistas
45,DataTech Solutions,Email,Men 18-24,45 days,Google Ads,0.04,6882,3.31,Miami,14/02/2021,282,8038,7,Tech Enthusiasts
46,NexGen Systems,Display,Women 35-44,60 days,Google Ads,0.03,13470,6.8,Miami,15/02/2021,992,8036,8,Health & Wellness
47,DataTech Solutions,Search,Men 25-34,60 days,YouTube,0.06,14948,7.4,New York,16/02/2021,903,3940,3,Foodies
48,Innovate Industries,Social Media,Men 18-24,60 days,Instagram,0.04,15255,3.8,Chicago,17/02/2021,629,1824,3,Health & Wellness
49,TechCorp,Display,All Ages,60 days,Facebook,0.1,9510,5.25,Houston,18/02/2021,190,2071,4,Tech Enthusiasts
